sei,fornecedor,valor,score,status,n_docs,tem_cadeia
SEI-270006/011357/2026,IMAGEMVIDA CURSO PREPARATORIO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM LTDA,6250000.00,60,integra,8,1
SEI-270006/006444/2024,DISTRIBUIÇÃO DE MEDICAMENTOS PAMED LTDA,3778049.48,60,integra,8,1
SEI-270001/004034/2025,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270001/004130/2025,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270005/000939/2025,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270005/001422/2024,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270006/014337/2024,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270006/024505/2025,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270006/024710/2025,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270006/026365/2025,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270006/028392/2025,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270006/029741/2025,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270006/036335/2025,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270006/036675/2025,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270006/036768/2025,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270007/040564/2025,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270007/041424/2025,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270040/000056/2023,AGUAS DO RIO 4 SPE S.A,17416573.53,60,nao_coletado,0,0
SEI-270006/000660/2024,LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI - ME,19295037.06,55,integra,9,1
SEI-270003/002373/2024,ONCOMED CLÍNICA ONCOLÓGICA LTDA.,6250000.00,48,integra,8,1
SEI-270003/003043/2024,CLÍNICA SÃO CARLOS S/A,6250000.00,48,integra,10,1
SEI-270003/000019/2025,EXCLUSIVE HEALTH LABORATORIOS MEDICOS LTDA,6250000.00,48,integra,8,1
SEI-270003/004739/2025,IMAGEMVIDA CURSO PREPARATORIO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM LTDA,6250000.00,48,nao_coletado,0,0
SEI-270005/000185/2024,HELICÓPTEROS DO BRASIL S/A ,5108973.95,48,nao_coletado,0,0
SEI-270006/009949/2024,DISTRIBUIÇÃO DE MEDICAMENTOS PAMED LTDA,3778049.48,43,integra,8,1
SEI-270131/000526/2023,PRO-SERV RIO COMERCIAL E SOLUCOES LTDA,2528446.56,43,nao_coletado,0,0
SEI-270006/012128/2024,ANGLOCO LIMITED,77000000.00,40,integra,8,1
SEI-270042/000828/2022,ENGE PRAT ENGENHARIA E SERVIÇOS LTDA,15181266.88,40,integra,3,1
SEI-270006/021632/2025,JACINTO MARQUES DE OLIVEIRA SUCESSORES LDA,10782856.00,40,integra,8,1
SEI-270006/005381/2024,TOVÁ COMÉRCIO DE PNEUS LTDA,6037714.57,40,integra,8,1
